name,position,club,division,based_in,division_tier,tier_quality,date_of_birth,age_(days)_on_1_july_2023,age_(months)_on_1_july_2023,age_(years)_on_1_july_2023,birth_city,birth_postcode,nation_of_birth,birth_region,nationality,2nd_nationality,height_(ft_in),height_(ft),height_(in),height_(cm),weight_(kg),goals,appearances,is_top_4
Danai Hassan,ST (C),Blackpool,English Football League 1,ENG,ENG3,4,16/05/2006,6255,205,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,66,0,0,YES
Shakeel Brown,ST (C),Grimsby,English Football League 2,ENG,ENG4,5,14/05/2006,6257,205,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,68,0,0,NO
Jack Bates,WB (R),Burnley,English Premier Division,ENG,ENG1,1,14/05/2006,6257,205,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,60,0,0,YES
Bobby Amartey,D (C),Leicester,English Football League Championship,ENG,ENG2,3,14/05/2006,6257,205,17,London,,ENG,UK & Ireland,ENG,GHA,"6'3""",6,3,190.5,76,0,0,YES
Zach Abbott,D (C),Nottm Forest,English Premier Division,ENG,ENG1,1,13/05/2006,6258,205,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,77,0,0,YES
Jayden Sekete,D (R),Sunderland,English Football League Championship,ENG,ENG2,3,13/05/2006,6258,205,17,-,,ENG,UK & Ireland,ENG,FIJ,"6'4""",6,4,193.04,76,0,0,YES
Tristen Batanwi,D (L),Coventry,English Football League Championship,ENG,ENG2,3,12/05/2006,6259,205,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,72,0,0,YES
Reiss Russell-Denny,M (C),Chelsea,English Premier Division,ENG,ENG1,1,11/05/2006,6260,205,17,Reading,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,62,0,0,YES
Tyrell Dawes,D (C),Sheffield Wednesday,English Football League Championship,ENG,ENG2,3,11/05/2006,6260,205,17,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,77,0,0,YES
Ollie Phillips,GK,Bristol Rovers,English Football League 1,ENG,ENG3,4,11/05/2006,6260,205,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,62,0,0,YES
Oliver Irow,"AM (RL), ST (C)",Tottenham,English Premier Division,ENG,ENG1,1,10/05/2006,6261,205,17,London,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,60,0,0,YES
Josh Smith,D (C),Accrington,English Football League 2,ENG,ENG4,5,09/05/2006,6262,205,17,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,62,0,0,NO
Bradley Moonan,D (C),Everton,English Premier Division,ENG,ENG1,1,07/05/2006,6264,205,17,Wigan,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,73,0,0,YES
Lakyle Samuel,D (C),Man City,English Premier Division,ENG,ENG1,1,06/05/2006,6265,205,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,63,0,0,YES
Mitch Aston,M (C),Portsmouth,English Football League 1,ENG,ENG3,4,05/05/2006,6266,205,17,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,64,0,0,YES
Pharrell Leader-Williams,M (C),Crewe,English Football League 2,ENG,ENG4,5,05/05/2006,6266,205,17,Manchester,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,74,0,0,NO
Josh Acheampong,D (RC),Chelsea,English Premier Division,ENG,ENG1,1,05/05/2006,6266,205,17,London,,ENG,UK & Ireland,ENG,GHA,"6'2""",6,2,187.96,71,0,0,YES
Muhamadou Sedibeh,AM (C),Bradford City,English Football League 2,ENG,ENG4,5,04/05/2006,6267,205,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,74,0,0,NO
Arthur Parker,D (C),Swansea,English Football League Championship,ENG,ENG2,3,03/05/2006,6268,205,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,72,0,0,YES
Ronan Ismali,ST (C),Cambridge,English Football League 1,ENG,ENG3,4,02/05/2006,6269,205,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,68,0,0,YES
Jersey Lopez,D (R),Lincoln,English Football League 1,ENG,ENG3,4,01/05/2006,6270,206,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,75,0,0,YES
Harry Roddis,D (C),Rotherham,English Football League Championship,ENG,ENG2,3,30/04/2006,6271,206,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,74,0,0,YES
Jayden Joseph,AM (R),Leicester,English Football League Championship,ENG,ENG2,3,29/04/2006,6272,206,17,Huddersfield,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,67,0,0,YES
Harley Lawton,ST (C),Accrington,English Football League 2,ENG,ENG4,5,28/04/2006,6273,206,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,68,0,0,NO
Benjamin Arthur,D (C),Brentford,English Premier Division,ENG,ENG1,1,28/04/2006,6273,206,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,89,0,0,YES
Favour Fawunmi,AM (L),West Ham,English Premier Division,ENG,ENG1,1,26/04/2006,6275,206,17,-,,ENG,UK & Ireland,ENG,NGA,"5'10""",5,10,177.8,62,0,0,YES
Declan Phillips,DM,Wealdstone,English National League,ENG,ENG5,6,25/04/2006,6276,206,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,74,0,0,NO
Josh O'Brien,D (C),Carlisle,English Football League 1,ENG,ENG3,4,24/04/2006,6277,206,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,69,0,0,YES
Ato Ampah,WB/AM (R),Chelsea,English Premier Division,ENG,ENG1,1,22/04/2006,6279,206,17,Accra,,GHA,Western Africa,ENG,GHA,"5'9""",5,9,175.26,68,0,0,YES
Darnell Bailey,D (C),Stevenage,English Football League 1,ENG,ENG3,4,21/04/2006,6280,206,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,72,0,0,YES
Cameron Morris,ST (C),Shrewsbury,English Football League 1,ENG,ENG3,4,20/04/2006,6281,206,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,68,0,0,YES
Isaac Olaleye,ST (C),MK Dons,English Football League 2,ENG,ENG4,5,20/04/2006,6281,206,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,69,0,0,NO
Izac Khan,DM,Preston,English Football League Championship,ENG,ENG2,3,19/04/2006,6282,206,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,67,0,0,YES
John Dunlop,"D/WB (R), DM",Rochdale,English National League,ENG,ENG5,6,19/04/2006,6282,206,17,Liverpool,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,72,0,0,NO
Jack Perry,D/WB (R),Derby,English Football League 1,ENG,ENG3,4,18/04/2006,6283,206,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,YES
Joel McGregor,AM (R),Swindon,English Football League 2,ENG,ENG4,5,17/04/2006,6284,206,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,66,0,0,NO
Alfie Massey,"DM, M (C)",Millwall,English Football League Championship,ENG,ENG2,3,16/04/2006,6285,206,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,74,0,0,YES
Kingston Fligg,M (C),Stockport,English Football League 2,ENG,ENG4,5,16/04/2006,6285,206,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,67,0,0,NO
Isaac Moore,M (C),Coventry,English Football League Championship,ENG,ENG2,3,15/04/2006,6286,206,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,63,0,0,YES
Boyd Beacroft,D (C),Reading,English Football League 1,ENG,ENG3,4,13/04/2006,6288,206,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,76,0,0,YES
Josh King-Phillips,AM (L),Blackpool,English Football League 1,ENG,ENG3,4,12/04/2006,6289,206,17,Manchester,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,58,0,0,YES
Harry Wood,M (C),Doncaster,English Football League 2,ENG,ENG4,5,11/04/2006,6290,206,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,66,0,0,NO
Alfie King,DM,Mansfield,English Football League 2,ENG,ENG4,5,10/04/2006,6291,206,17,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,57,0,0,NO
Elliott Champness,M (C),Stevenage,English Football League 1,ENG,ENG3,4,10/04/2006,6291,206,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,70,0,0,YES
Charlie Lennon,AM (RL),Middlesbrough,English Football League Championship,ENG,ENG2,3,09/04/2006,6292,206,17,Spennymoor,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,63,0,0,YES
Harrison Chamberlain,GK,Colchester,English Football League 2,ENG,ENG4,5,09/04/2006,6292,206,17,-,,ENG,UK & Ireland,ENG,,"6'5""",6,5,195.58,82,0,0,NO
Brandon Liggett,M (C),Gloucester,English National League North,ENG,ENG6,6,06/04/2006,6295,206,17,Gloucester,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,NO
Fabian Reynolds,M/AM (L),Wolves,English Premier Division,ENG,ENG1,1,06/04/2006,6295,206,17,London,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,YES
David Romer,WB (L),Cheltenham,English Football League 1,ENG,ENG3,4,06/04/2006,6295,206,17,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,59,0,0,YES
Dean Adekoya,ST (C),Stoke,English Football League Championship,ENG,ENG2,3,05/04/2006,6296,206,17,Manchester,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,74,0,0,YES
Alfie King,D (L),Watford,English Football League Championship,ENG,ENG2,3,04/04/2006,6297,206,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,67,0,0,YES
Cheick Kone,ST (C),West Brom,English Football League Championship,ENG,ENG2,3,04/04/2006,6297,206,17,New York (NY),,USA,North America,ENG,CIV,"5'9""",5,9,175.26,67,0,0,YES
Tom Edozie,AM (C),Wolves,English Premier Division,ENG,ENG1,1,04/04/2006,6297,206,17,-,,ENG,UK & Ireland,ENG,NGA,"5'7""",5,7,170.18,58,0,0,YES
Jamal Mohammed,D (C),West Brom,English Football League Championship,ENG,ENG2,3,04/04/2006,6297,206,17,-,,ENG,UK & Ireland,ENG,JAM,"6'0""",6,0,182.88,77,0,0,YES
Harry Mills,D/WB (L),Brighton,English Premier Division,ENG,ENG1,1,03/04/2006,6298,206,17,-,,ENG,UK & Ireland,ENG,CYP,"5'9""",5,9,175.26,61,0,0,YES
Kieran Morgan,M (C),Tottenham,English Premier Division,ENG,ENG1,1,03/04/2006,6298,206,17,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,79,0,0,YES
Reece Benjamin,D (C),Notts Co,English Football League 2,ENG,ENG4,5,02/04/2006,6299,206,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,72,0,0,NO
Joshua Stephenson,D (LC),Millwall,English Football League Championship,ENG,ENG2,3,01/04/2006,6300,207,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,68,0,0,YES
Reece Hipwell,D (L),Cambridge,English Football League 1,ENG,ENG3,4,29/03/2006,6303,207,17,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,78,0,0,YES
Callum Hewlett,"DM, M (C)",Bristol City,English Football League Championship,ENG,ENG2,3,29/03/2006,6303,207,17,-,,ENG,UK & Ireland,ENG,,"5'3""",5,3,160.02,57,0,0,YES
Romari Forde,AM (R),Arsenal,English Premier Division,ENG,ENG1,1,28/03/2006,6304,207,17,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,68,0,0,YES
Leighton Murray,M/AM (R),Gillingham,English Football League 2,ENG,ENG4,5,28/03/2006,6304,207,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,69,0,0,NO
Makhaya James,D/WB (L),Colchester,English Football League 2,ENG,ENG4,5,27/03/2006,6305,207,17,-,,ENG,UK & Ireland,ENG,JAM,"5'11""",5,11,180.34,66,0,0,NO
Archie Cooper,D (C),Hull,English Football League Championship,ENG,ENG2,3,27/03/2006,6305,207,17,London,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,74,0,0,YES
Noah Mosanya,M (C),Stevenage,English Football League 1,ENG,ENG3,4,27/03/2006,6305,207,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,69,0,0,YES
Zane Rattray,M (C),Stoke,English Football League Championship,ENG,ENG2,3,26/03/2006,6306,207,17,Manchester,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,67,0,0,YES
Charlie Pavey,AM (RC),Aston Villa,English Premier Division,ENG,ENG1,1,26/03/2006,6306,207,17,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,62,0,0,YES
Finley Marjoram,D (RC),Crystal Palace,English Premier Division,ENG,ENG1,1,26/03/2006,6306,207,17,Folkestone,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,65,0,0,YES
Daniel Obolo,AM (L),Sunderland,English Football League Championship,ENG,ENG2,3,26/03/2006,6306,207,17,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,75,0,0,YES
Daniel Rigge,AM (C),West Ham,English Premier Division,ENG,ENG1,1,25/03/2006,6307,207,17,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,60,0,0,YES
Ma'kel Bogle-Campbell,M (C),Fulham,English Premier Division,ENG,ENG1,1,22/03/2006,6310,207,17,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,59,0,0,YES
Tom Wilson,ST (C),AFC Wimbledon,English Football League 2,ENG,ENG4,5,22/03/2006,6310,207,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,63,0,0,NO
Max Leeson,ST (C),Salford,English Football League 2,ENG,ENG4,5,22/03/2006,6310,207,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,72,0,0,NO
Milton Oni,"DM, M (C)",Maldon & Tiptree,English Isthmian League North Division,ENG,ENG8,6,21/03/2006,6311,207,17,-,,ENG,UK & Ireland,ENG,GHA,"5'10""",5,10,177.8,71,0,0,NO
Errol Mundle-Smith,ST (C),Norwich,English Football League Championship,ENG,ENG2,3,19/03/2006,6313,207,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,74,0,0,YES
Saul Fox-Akande,ST (C),Morecambe,English Football League 2,ENG,ENG4,5,18/03/2006,6314,207,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,73,0,0,NO
Elijah Morrison,M (L),Bristol City,English Football League Championship,ENG,ENG2,3,18/03/2006,6314,207,17,Bristol,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,77,0,0,YES
Lennon Dobson,"DM, M (C)",Morecambe,English Football League 2,ENG,ENG4,5,17/03/2006,6315,207,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,69,0,0,NO
Kymani Skyers,D (C),Stevenage,English Football League 1,ENG,ENG3,4,17/03/2006,6315,207,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,71,0,0,YES
Daniel Vost,M (C),Huddersfield,English Football League Championship,ENG,ENG2,3,17/03/2006,6315,207,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,69,0,0,YES
Jack Timberlake,ST (C),Reading,English Football League 1,ENG,ENG3,4,17/03/2006,6315,207,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,69,0,0,YES
Callum Scruton,M (C),Stockport,English Football League 2,ENG,ENG4,5,17/03/2006,6315,207,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,76,0,0,NO
Tyrique Tekasala,ST (C),Stevenage,English Football League 1,ENG,ENG3,4,17/03/2006,6315,207,17,-,,ENG,UK & Ireland,ENG,,"5'5""",5,5,165.1,57,0,0,YES
Tom Shepard,D (R),Rotherham,English Football League Championship,ENG,ENG2,3,17/03/2006,6315,207,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,69,0,0,YES
Uriah Djedje,"DM, M (C)",Norwich,English Football League Championship,ENG,ENG2,3,16/03/2006,6316,207,17,London,,ENG,UK & Ireland,ENG,CIV,"6'3""",6,3,190.5,75,0,0,YES
Francis Hurl,GK,Huddersfield,English Football League Championship,ENG,ENG2,3,15/03/2006,6317,207,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,71,0,0,YES
Paul Nsio,M (C),Rangers,-,SCO,NONE,7,15/03/2006,6317,207,17,-,,ENG,UK & Ireland,ENG,COD,"5'9""",5,9,175.26,66,0,0,NO
Harry Lee,D/WB (R),Brighton,English Premier Division,ENG,ENG1,1,13/03/2006,6319,207,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,72,0,0,YES
Andrew Buah,AM (RLC),Port Vale,English Football League 1,ENG,ENG3,4,13/03/2006,6319,207,17,Manchester,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,68,0,0,YES
Tommy Setford,GK,Ajax,Eredivisie,NED,NED1,2,13/03/2006,6319,207,17,Haarlem,,NED,Central Europe,ENG,NED,"6'1""",6,1,185.42,71,0,0,YES
Jamie Arnold,ST (C),Colchester,English Football League 2,ENG,ENG4,5,13/03/2006,6319,207,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,74,0,0,NO
Archie Gray,"DM, M (C)",Leeds,English Football League Championship,ENG,ENG2,3,12/03/2006,6320,207,17,Durham,,ENG,UK & Ireland,ENG,SCO,"6'0""",6,0,182.88,72,0,0,YES
Tyler Dibling,AM (RL),Southampton,English Football League Championship,ENG,ENG2,3,12/03/2006,6320,207,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,69,0,0,YES
Somto Boniface,D/WB (L),Chelsea,English Premier Division,ENG,ENG1,1,11/03/2006,6321,207,17,London,,ENG,UK & Ireland,ENG,NGA,"5'10""",5,10,177.8,64,0,0,YES
Kye Perkins,DM,Lincoln,English Football League 1,ENG,ENG3,4,11/03/2006,6321,207,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,67,0,0,YES
Archie Duerden,D (C),Aston Villa,English Premier Division,ENG,ENG1,1,09/03/2006,6323,207,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,71,0,0,YES
Tyler Whyle,WB (L),Mansfield,English Football League 2,ENG,ENG4,5,08/03/2006,6324,207,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,67,0,0,NO
Ewan Gordon-Clement,"AM (RL), ST (C)",Colchester,English Football League 2,ENG,ENG4,5,08/03/2006,6324,207,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,62,0,0,NO
Dom Plank,AM (RC),Wolves,English Premier Division,ENG,ENG1,1,07/03/2006,6325,207,17,Cranleigh,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,68,0,0,YES
Joshua Adepoju,ST (C),MK Dons,English Football League 2,ENG,ENG4,5,07/03/2006,6325,207,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,67,0,0,NO
Remy Rees-Dottin,AM (RL),Bournemouth,English Premier Division,ENG,ENG1,1,06/03/2006,6326,207,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,59,0,0,YES
Will Houghton,ST (C),Luton,English Premier Division,ENG,ENG1,1,06/03/2006,6326,207,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,63,0,0,YES
Brook Myers,M/AM (C),Charlton,English Football League 1,ENG,ENG3,4,04/03/2006,6328,207,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,65,0,0,YES
Danny Ormerod,ST (C),AFC Fylde,English National League,ENG,ENG5,6,04/03/2006,6328,207,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,NO
Andrew Evans,D (C),Morecambe,English Football League 2,ENG,ENG4,5,04/03/2006,6328,207,17,Newcastle,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,78,0,0,NO
Rylie Siddall,M (C),Coventry,English Football League Championship,ENG,ENG2,3,03/03/2006,6329,207,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,71,0,0,YES
Maxwell Hurst,ST (C),Portsmouth,English Football League 1,ENG,ENG3,4,02/03/2006,6330,207,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,70,0,0,YES
Keenan Gough,ST (C),Charlton,English Football League 1,ENG,ENG3,4,28/02/2006,6332,208,17,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,66,0,0,YES
Callum Jones,D (R),Wigan,English Football League 1,ENG,ENG3,4,27/02/2006,6333,208,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,69,0,0,YES
Freddie Allen,D (L),Doncaster,English Football League 2,ENG,ENG4,5,27/02/2006,6333,208,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,66,0,0,NO
Josh Shattell,GK,Derby,English Football League 1,ENG,ENG3,4,26/02/2006,6334,208,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,74,0,0,YES
Daniel Adiefeh,M (C),Notts Co,English Football League 2,ENG,ENG4,5,25/02/2006,6335,208,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,66,0,0,NO
Charlie Tasker,D (C),Brighton,English Premier Division,ENG,ENG1,1,24/02/2006,6336,208,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,74,0,0,YES
Alex Wilkie,D (C),Cheltenham,English Football League 1,ENG,ENG3,4,24/02/2006,6336,208,17,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,74,0,0,YES
Corvell Pickering,M (L),MK Dons,English Football League 2,ENG,ENG4,5,24/02/2006,6336,208,17,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,57,0,0,NO
Andre Grey,D (C),Brentford,English Premier Division,ENG,ENG1,1,24/02/2006,6336,208,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,78,0,0,YES
Shay Spencer,M (C),Reading,English Football League 1,ENG,ENG3,4,24/02/2006,6336,208,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,74,0,0,YES
Russell Berko,AM (L),Lincoln,English Football League 1,ENG,ENG3,4,22/02/2006,6338,208,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,YES
Charlie Gray,M (C),Man City,English Premier Division,ENG,ENG1,1,22/02/2006,6338,208,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,70,0,0,YES
Reuben Wyatt,"DM, M/AM (C)",Northampton,English Football League 1,ENG,ENG3,4,22/02/2006,6338,208,17,Daventry,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,72,0,0,YES
Callum Yam,GK,Hull,English Football League Championship,ENG,ENG2,3,21/02/2006,6339,208,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,69,0,0,YES
Tom Taylor,"DM, M (C), AM (RC)",Ipswich,English Football League Championship,ENG,ENG2,3,21/02/2006,6339,208,17,Chelmsford,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,79,0,0,YES
Olly Sully,ST (C),Forest Green,English Football League 2,ENG,ENG4,5,21/02/2006,6339,208,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,69,0,0,NO
James Batt,GK,Charlton,English Football League 1,ENG,ENG3,4,20/02/2006,6340,208,17,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,78,0,0,YES
Sebastian Jensen,GK,Everton,English Premier Division,ENG,ENG1,1,20/02/2006,6340,208,17,Macclesfield,,ENG,UK & Ireland,ENG,DEN,"6'0""",6,0,182.88,72,0,0,YES
Dylan Wilkinson,D (R),Bradford City,English Football League 2,ENG,ENG4,5,20/02/2006,6340,208,17,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,61,0,0,NO
Elyh Harrison,GK,Man UFC,English Premier Division,ENG,ENG1,1,19/02/2006,6341,208,17,Milford Haven,,WAL,UK & Ireland,ENG,WAL,"6'0""",6,0,182.88,72,0,0,YES
Jack Rogers,DM,Burnley,English Premier Division,ENG,ENG1,1,19/02/2006,6341,208,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,62,0,0,YES
Mack Allen,GK,Bournemouth,English Premier Division,ENG,ENG1,1,19/02/2006,6341,208,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,73,0,0,YES
Hayden Carson,D (L),Wolves,English Premier Division,ENG,ENG1,1,19/02/2006,6341,208,17,Lichfield,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,76,0,0,YES
Lewis Orford,M (C),West Ham,English Premier Division,ENG,ENG1,1,18/02/2006,6342,208,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,69,0,0,YES
Leo Graham,AM (C),Bolton,English Football League 1,ENG,ENG3,4,17/02/2006,6343,208,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,71,0,0,YES
David Abimbola,ST (C),Bolton,English Football League 1,ENG,ENG3,4,17/02/2006,6343,208,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,87,0,0,YES
Tyler Field,WB/M (L),Reading,English Football League 1,ENG,ENG3,4,16/02/2006,6344,208,17,-,,ENG,UK & Ireland,ENG,,"5'3""",5,3,160.02,52,0,0,YES
Mo Diomandé,D (C),Wolves,English Premier Division,ENG,ENG1,1,16/02/2006,6344,208,17,Assisi,,ITA,South Europe,ENG,CIV,"6'2""",6,2,187.96,76,0,0,YES
Cameron Eubank,ST (C),Birmingham,English Football League Championship,ENG,ENG2,3,15/02/2006,6345,208,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,70,0,0,YES
Toby Oliver,"DM, M (C)",Blackpool,English Football League 1,ENG,ENG3,4,15/02/2006,6345,208,17,-,,ENG,UK & Ireland,ENG,,"5'3""",5,3,160.02,52,0,0,YES
Ted Curd,GK,Hashtag,English Isthmian League Premier Division,ENG,ENG7,6,14/02/2006,6346,208,17,Kingston upon Thames,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,84,0,0,NO
Bailey Hamilton,GK,Rotherham,English Football League Championship,ENG,ENG2,3,14/02/2006,6346,208,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,71,0,0,YES
Sammy Henia-Kamau,ST (C),Swansea,English Football League Championship,ENG,ENG2,3,13/02/2006,6347,208,17,Jersey,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,57,0,0,YES
Ethan Smith,ST (C),Salford,English Football League 2,ENG,ENG4,5,13/02/2006,6347,208,17,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,59,0,0,NO
Judah Tawiah,D (RC),Middlesbrough,English Football League Championship,ENG,ENG2,3,13/02/2006,6347,208,17,London,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,68,0,0,YES
Malachi Osei-Owusu,GK,Portsmouth,English Football League 1,ENG,ENG3,4,12/02/2006,6348,208,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,79,0,0,YES
Jack Blower,M (C),Barnet,English National League,ENG,ENG5,6,12/02/2006,6348,208,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,71,0,0,NO
